cluster,cluster-ab-nDCG,equiv-ab-nDCG,ab-ndcg,perc-change,condition-1
0,0.39685005489514924,0.35692583170363146,0.35984493189931616,10.28363045173776,0.03992422319151778
1,0.5298523493501546,0.3412240176447709,0.35984493189931616,47.244633001641425,0.18862833170538368
2,0.40159558379089705,0.35793412202731767,0.35984493189931616,11.602400976224567,0.04366146176357938
3,0.4171079417919556,0.3473015234634515,0.35984493189931616,15.91324618368156,0.0698064183285041
4,0.40003451085246766,0.3565873421485484,0.35984493189931616,11.16858273952194,0.04344716870391924
5,0.42939312420514375,0.3545645906664683,0.35984493189931616,19.327267425649623,0.07482853353867547
6,0.5020178297871083,0.34352832045987763,0.35984493189931616,39.50949013992833,0.15848950932723066
7,0.5667448845502604,0.34443410327496,0.35984493189931616,57.49697558859448,0.2223107812753004
8,0.5559381303591937,0.3467427556311914,0.35984493189931616,54.493805824877924,0.20919537472800231
9,0.49470286254024387,0.3497025646542893,0.35984493189931616,37.47667917097709,0.1450002978859546
10,0.5750556394993178,0.35168727441945075,0.35984493189931616,59.80651345124882,0.22336836507986707
11,0.4862234822962746,0.3466001915411806,0.35984493189931616,35.12028076369265,0.139623290755094
12,0.577234718186351,0.3428617398911384,0.35984493189931616,60.41207392851652,0.2343729782952126
13,0.2560988300668293,0.36607228189183083,0.35984493189931616,-28.830780326653255,-0.10997345182500151
14,0.40681424480453626,0.3564848139066688,0.35984493189931616,13.052653724288666,0.050329430897867455
15,0.393405899479785,0.3573074661541253,0.35984493189931616,9.326508338836108,0.03609843332565971
16,0.5762236232315054,0.3517458061270647,0.35984493189931616,60.131093187865595,0.22447781710444076
17,0.5291226459008036,0.35145880498025106,0.35984493189931616,47.04185025144414,0.17766384092055254
18,0.41623772623034955,0.35646385284247806,0.35984493189931616,15.671415471487585,0.05977387338787149
19,0.2547685690714671,0.36443408092601387,0.35984493189931616,-29.200456505873255,-0.10966551185454676
