cluster,cluster-ab-nDCG,equiv-ab-nDCG,ab-ndcg,perc-change,condition-1
0,0.5105220360871212,0.445197059165021,0.4544995134017591,12.326200806257075,0.06532497692210021
1,0.3088878677973355,0.4722957770366337,0.4544995134017591,-32.03780010996597,-0.1634079092392982
2,0.605552310402578,0.4210273558265461,0.4544995134017591,33.23497441619796,0.18452495457603185
3,0.3346848345978112,0.4785833083862413,0.4544995134017591,-26.361893747075722,-0.14389847378843013
4,0.6464054649808795,0.4315946905383124,0.4544995134017591,42.22357690611724,0.21481077444256708
5,0.32147130589477624,0.48089812862362824,0.4544995134017591,-29.269163901038397,-0.159426822728852
6,0.6271355675335148,0.4172830050329696,0.4544995134017591,37.983770948320576,0.20985256250054524
7,0.6819595647880251,0.42267520733931097,0.4544995134017591,50.04626950726801,0.25928435744871414
8,0.6583031636204246,0.43235016455768605,0.4544995134017591,44.84133518499752,0.22595299906273858
9,0.505304936954666,0.44838431857710337,0.4544995134017591,11.17832298051264,0.05692061837756268
